code,county,MSA Code,msa,MSA Type,CSA Code,CSA Title
1001,"Autauga County, Alabama",C3386,"Montgomery, AL",Metro,,
1003,"Baldwin County, Alabama",C1930,"Daphne-Fairhope-Foley, AL",Metro,CS380,"Mobile-Daphne-Fairhope, AL"
1005,"Barbour County, Alabama",,,,,
1007,"Bibb County, Alabama",C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
1009,"Blount County, Alabama",C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
1011,"Bullock County, Alabama",,,,,
1013,"Butler County, Alabama",,,,,
1015,"Calhoun County, Alabama",C1150,"Anniston-Oxford-Jacksonville, AL",Metro,,
1017,"Chambers County, Alabama",C4674,"Valley, AL",Micro,CS194,"Columbus-Auburn-Opelika, GA-AL"
1019,"Cherokee County, Alabama",,,,,
1021,"Chilton County, Alabama",C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
1023,"Choctaw County, Alabama",,,,,
1025,"Clarke County, Alabama",,,,,
1027,"Clay County, Alabama",,,,,
1029,"Cleburne County, Alabama",,,,,
1031,"Coffee County, Alabama",C2146,"Enterprise, AL",Micro,CS222,"Dothan-Enterprise-Ozark, AL"
1033,"Colbert County, Alabama",C2252,"Florence-Muscle Shoals, AL",Metro,,
1035,"Conecuh County, Alabama",,,,,
1037,"Coosa County, Alabama",C4518,"Talladega-Sylacauga, AL",Micro,CS142,"Birmingham-Hoover-Talladega, AL"
1039,"Covington County, Alabama",,,,,
1041,"Crenshaw County, Alabama",,,,,
1043,"Cullman County, Alabama",C1898,"Cullman, AL",Micro,CS142,"Birmingham-Hoover-Talladega, AL"
1045,"Dale County, Alabama",C3712,"Ozark, AL",Micro,CS222,"Dothan-Enterprise-Ozark, AL"
1047,"Dallas County, Alabama",C4282,"Selma, AL",Micro,,
1049,"DeKalb County, Alabama",,,,,
1051,"Elmore County, Alabama",C3386,"Montgomery, AL",Metro,,
1053,"Escambia County, Alabama",,,,,
1055,"Etowah County, Alabama",C2346,"Gadsden, AL",Metro,,
1057,"Fayette County, Alabama",,,,,
1059,"Franklin County, Alabama",,,,,
1061,"Geneva County, Alabama",C2002,"Dothan, AL",Metro,CS222,"Dothan-Enterprise-Ozark, AL"
1063,"Greene County, Alabama",,,,,
1065,"Hale County, Alabama",C4622,"Tuscaloosa, AL",Metro,,
1067,"Henry County, Alabama",C2002,"Dothan, AL",Metro,CS222,"Dothan-Enterprise-Ozark, AL"
1069,"Houston County, Alabama",C2002,"Dothan, AL",Metro,CS222,"Dothan-Enterprise-Ozark, AL"
1071,"Jackson County, Alabama",C4246,"Scottsboro, AL",Micro,CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
1073,"Jefferson County, Alabama",C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
1075,"Lamar County, Alabama",,,,,
1077,"Lauderdale County, Alabama",C2252,"Florence-Muscle Shoals, AL",Metro,,
1079,"Lawrence County, Alabama",C1946,"Decatur, AL",Metro,CS290,"Huntsville-Decatur-Albertville, AL"
1081,"Lee County, Alabama",C1222,"Auburn-Opelika, AL",Metro,CS194,"Columbus-Auburn-Opelika, GA-AL"
1083,"Limestone County, Alabama",C2662,"Huntsville, AL",Metro,CS290,"Huntsville-Decatur-Albertville, AL"
1085,"Lowndes County, Alabama",C3386,"Montgomery, AL",Metro,,
1087,"Macon County, Alabama",,,,,
1089,"Madison County, Alabama",C2662,"Huntsville, AL",Metro,CS290,"Huntsville-Decatur-Albertville, AL"
1091,"Marengo County, Alabama",,,,,
1093,"Marion County, Alabama",,,,,
1095,"Marshall County, Alabama",C1070,"Albertville, AL",Micro,CS290,"Huntsville-Decatur-Albertville, AL"
1097,"Mobile County, Alabama",C3366,"Mobile, AL",Metro,CS380,"Mobile-Daphne-Fairhope, AL"
1099,"Monroe County, Alabama",,,,,
1101,"Montgomery County, Alabama",C3386,"Montgomery, AL",Metro,,
1103,"Morgan County, Alabama",C1946,"Decatur, AL",Metro,CS290,"Huntsville-Decatur-Albertville, AL"
1105,"Perry County, Alabama",,,,,
1107,"Pickens County, Alabama",C4622,"Tuscaloosa, AL",Metro,,
1109,"Pike County, Alabama",C4598,"Troy, AL",Micro,,
1111,"Randolph County, Alabama",,,,,
1113,"Russell County, Alabama",C1798,"Columbus, GA-AL",Metro,CS194,"Columbus-Auburn-Opelika, GA-AL"
1115,"St. Clair County, Alabama",C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
1117,"Shelby County, Alabama",C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
1119,"Sumter County, Alabama",,,,,
1121,"Talladega County, Alabama",C4518,"Talladega-Sylacauga, AL",Micro,CS142,"Birmingham-Hoover-Talladega, AL"
1123,"Tallapoosa County, Alabama",,,,,
1125,"Tuscaloosa County, Alabama",C4622,"Tuscaloosa, AL",Metro,,
1127,"Walker County, Alabama",C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
1129,"Washington County, Alabama",,,,,
1131,"Wilcox County, Alabama",,,,,
1133,"Winston County, Alabama",,,,,
2010,"Aleutian Islands Census Area, Alaska",,,,,
2013,"Aleutians East Borough, Alaska",,,,,
2016,"Aleutians West Census Area, Alaska",,,,,
2020,"Anchorage Municipality, Alaska",C1126,"Anchorage, AK",Metro,,
2030,"Angoon Division, Alaska",,,,,
2040,"Barrow-North Slope Division, Alaska",,,,,
2050,"Bethel Census Area, Alaska",,,,,
2060,"Bristol Bay Borough, Alaska",,,,,
2063,"Chugach Census Area, Alaska",,,,,
2066,"Copper River Census Area, Alaska",,,,,
2068,"Denali Borough, Alaska",,,,,
2070,"Dillingham Census Area, Alaska",,,,,
2080,"Cordova McCarthy Division, Alaska",,,,,
2090,"Fairbanks North Star Borough, Alaska",C2182,"Fairbanks, AK",Metro,,
2100,"Haines Borough, Alaska",,,,,
2105,"Hoonah-Angoon Census Area, Alaska",,,,,
2110,"Juneau City and Borough, Alaska",C2794,"Juneau, AK",Micro,,
2120,"Kenai-Cook Inlet Division, Alaska",,,,,
2122,"Kenai Peninsula Borough, Alaska",,,,,
2130,"Ketchikan Gateway Borough, Alaska",C2854,"Ketchikan, AK",Micro,,
2140,"Kobuk Census Area, Alaska",,,,,
2150,"Kodiak Island Borough, Alaska",,,,,
2158,"Kusilvak Census Area, Alaska",,,,,
2160,"Kuskokwim Division, Alaska",,,,,
2164,"Lake and Peninsula Borough, Alaska",,,,,
2170,"Matanuska-Susitna Borough, Alaska",C1126,"Anchorage, AK",Metro,,
2180,"Nome Census Area, Alaska",,,,,
2185,"North Slope Borough, Alaska",,,,,
2188,"Northwest Arctic Borough, Alaska",,,,,
2190,"Outer Ketchikan Division, Alaska",,,,,
2195,"Petersburg Borough, Alaska",,,,,
2198,"Prince of Wales-Hyder Census Area, Alaska",,,,,
2200,"Prince of Wales Division, Alaska",,,,,
2201,"Prince of Wales-Outer Ketchikan Census Area, AK",,,,,
2210,"Seward Division, Alaska",,,,,
2220,"Sitka City and Borough, Alaska",,,,,
2230,"Skagway Municipality, Alaska",,,,,
2231,"Skagway-Yakutat-Angoon Census Area, Alaska",,,,,
2232,"Skagway-Hoonah-Angoon Census Area, Alaska",,,,,
2240,"Southeast Fairbanks Census Area, Alaska",,,,,
2250,"Upper Yukon Division, Alaska",,,,,
2260,"Valdez-Chitina-Whittier Division, Alaska",,,,,
2261,"Valdez-Cordova Census Area, Alaska",,,,,
2270,"Wade Hampton Census Area, Alaska",,,,,
2275,"Wrangell City and Borough, Alaska",,,,,
2280,"Wrangell-Petersburg Census Area, Alaska",,,,,
2282,"Yakutat City and Borough, Alaska",,,,,
2290,"Yukon-Koyukuk Census Area, Alaska",,,,,
4001,"Apache County, Arizona",,,,,
4003,"Cochise County, Arizona",C4342,"Sierra Vista-Douglas, AZ",Metro,,
4005,"Coconino County, Arizona",C2238,"Flagstaff, AZ",Metro,,
4007,"Gila County, Arizona",C3774,"Payson, AZ",Micro,,
4009,"Graham County, Arizona",C4094,"Safford, AZ",Micro,,
4011,"Greenlee County, Arizona",,,,,
4012,"La Paz County, Arizona",,,,,
4013,"Maricopa County, Arizona",C3806,"Phoenix-Mesa-Scottsdale, AZ",Metro,,
4015,"Mohave County, Arizona",C2942,"Lake Havasu City-Kingman, AZ",Metro,CS332,"Las Vegas-Henderson, NV-AZ"
4017,"Navajo County, Arizona",C4332,"Show Low, AZ",Micro,,
4019,"Pima County, Arizona",C4606,"Tucson, AZ",Metro,CS536,"Tucson-Nogales, AZ"
4021,"Pinal County, Arizona",C3806,"Phoenix-Mesa-Scottsdale, AZ",Metro,,
4023,"Santa Cruz County, Arizona",C3570,"Nogales, AZ",Micro,CS536,"Tucson-Nogales, AZ"
4025,"Yavapai County, Arizona",C3914,"Prescott, AZ",Metro,,
4027,"Yuma County, Arizona",C4974,"Yuma, AZ",Metro,,
5001,"Arkansas County, Arkansas",,,,,
5003,"Ashley County, Arkansas",,,,,
5005,"Baxter County, Arkansas",C3426,"Mountain Home, AR",Micro,,
5007,"Benton County, Arkansas",C2222,"Fayetteville-Springdale-Rogers, AR-MO",Metro,,
5009,"Boone County, Arkansas",C2546,"Harrison, AR",Micro,,
5011,"Bradley County, Arkansas",,,,,
5013,"Calhoun County, Arkansas",C1578,"Camden, AR",Micro,,
5015,"Carroll County, Arkansas",,,,,
5017,"Chicot County, Arkansas",,,,,
5019,"Clark County, Arkansas",C1166,"Arkadelphia, AR",Micro,,
5021,"Clay County, Arkansas",,,,,
5023,"Cleburne County, Arkansas",,,,,
5025,"Cleveland County, Arkansas",C3822,"Pine Bluff, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
5027,"Columbia County, Arkansas",C3162,"Magnolia, AR",Micro,,
5029,"Conway County, Arkansas",,,,,
5031,"Craighead County, Arkansas",C2786,"Jonesboro, AR",Metro,CS308,"Jonesboro-Paragould, AR"
5033,"Crawford County, Arkansas",C2290,"Fort Smith, AR-OK",Metro,,
5035,"Crittenden County, Arkansas",C3282,"Memphis, TN-MS-AR",Metro,CS368,"Memphis-Forrest City, TN-MS-AR"
5037,"Cross County, Arkansas",,,,,
5039,"Dallas County, Arkansas",,,,,
5041,"Desha County, Arkansas",,,,,
5043,"Drew County, Arkansas",,,,,
5045,"Faulkner County, Arkansas",C3078,"Little Rock-North Little Rock-Conway, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
5047,"Franklin County, Arkansas",,,,,
5049,"Fulton County, Arkansas",,,,,
5051,"Garland County, Arkansas",C2630,"Hot Springs, AR",Metro,CS284,"Hot Springs-Malvern, AR"
5053,"Grant County, Arkansas",C3078,"Little Rock-North Little Rock-Conway, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
5055,"Greene County, Arkansas",C3750,"Paragould, AR",Micro,CS308,"Jonesboro-Paragould, AR"
5057,"Hempstead County, Arkansas",,,,,
5059,"Hot Spring County, Arkansas",C3168,"Malvern, AR",Micro,CS284,"Hot Springs-Malvern, AR"
5061,"Howard County, Arkansas",,,,,
5063,"Independence County, Arkansas",C1290,"Batesville, AR",Micro,,
5065,"Izard County, Arkansas",,,,,
5067,"Jackson County, Arkansas",,,,,
5069,"Jefferson County, Arkansas",C3822,"Pine Bluff, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
5071,"Johnson County, Arkansas",,,,,
5073,"Lafayette County, Arkansas",,,,,
5075,"Lawrence County, Arkansas",,,,,
5077,"Lee County, Arkansas",,,,,
5079,"Lincoln County, Arkansas",C3822,"Pine Bluff, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
5081,"Little River County, Arkansas",C4550,"Texarkana, TX-AR",Metro,,
5083,"Logan County, Arkansas",,,,,
5085,"Lonoke County, Arkansas",C3078,"Little Rock-North Little Rock-Conway, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
5087,"Madison County, Arkansas",C2222,"Fayetteville-Springdale-Rogers, AR-MO",Metro,,
5089,"Marion County, Arkansas",,,,,
5091,"Miller County, Arkansas",C4550,"Texarkana, TX-AR",Metro,,
5093,"Mississippi County, Arkansas",C1418,"Blytheville, AR",Micro,,
5095,"Monroe County, Arkansas",,,,,
5097,"Montgomery County, Arkansas",,,,,
5099,"Nevada County, Arkansas",,,,,
5101,"Newton County, Arkansas",C2546,"Harrison, AR",Micro,,
5103,"Ouachita County, Arkansas",C1578,"Camden, AR",Micro,,
5105,"Perry County, Arkansas",C3078,"Little Rock-North Little Rock-Conway, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
5107,"Phillips County, Arkansas",C2576,"Helena-West Helena, AR",Micro,,
5109,"Pike County, Arkansas",,,,,
5111,"Poinsett County, Arkansas",C2786,"Jonesboro, AR",Metro,CS308,"Jonesboro-Paragould, AR"
5113,"Polk County, Arkansas",,,,,
5115,"Pope County, Arkansas",C4078,"Russellville, AR",Micro,,
5117,"Prairie County, Arkansas",,,,,
5119,"Pulaski County, Arkansas",C3078,"Little Rock-North Little Rock-Conway, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
5121,"Randolph County, Arkansas",,,,,
5123,"St. Francis County, Arkansas",C2262,"Forrest City, AR",Micro,CS368,"Memphis-Forrest City, TN-MS-AR"
5125,"Saline County, Arkansas",C3078,"Little Rock-North Little Rock-Conway, AR",Metro,CS340,"Little Rock-North Little Rock, AR"
5127,"Scott County, Arkansas",,,,,
5129,"Searcy County, Arkansas",,,,,
5131,"Sebastian County, Arkansas",C2290,"Fort Smith, AR-OK",Metro,,
5133,"Sevier County, Arkansas",,,,,
5135,"Sharp County, Arkansas",,,,,
5137,"Stone County, Arkansas",,,,,
5139,"Union County, Arkansas",C2098,"El Dorado, AR",Micro,,
5141,"Van Buren County, Arkansas",,,,,
5143,"Washington County, Arkansas",C2222,"Fayetteville-Springdale-Rogers, AR-MO",Metro,,
5145,"White County, Arkansas",C4262,"Searcy, AR",Micro,CS340,"Little Rock-North Little Rock, AR"
5147,"Woodruff County, Arkansas",,,,,
5149,"Yell County, Arkansas",C4078,"Russellville, AR",Micro,,
6001,"Alameda County, California",C4186,"San Francisco-Oakland-Hayward, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
6003,"Alpine County, California",,,,,
6005,"Amador County, California",,,,,
6007,"Butte County, California",C1702,"Chico, CA",Metro,,
6009,"Calaveras County, California",,,,,
6011,"Colusa County, California",,,,,
6013,"Contra Costa County, California",C4186,"San Francisco-Oakland-Hayward, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
6015,"Del Norte County, California",C1886,"Crescent City, CA",Micro,,
6017,"El Dorado County, California",C4090,"Sacramento--Roseville--Arden-Arcade, CA",Metro,CS472,"Sacramento-Roseville, CA"
6019,"Fresno County, California",C2342,"Fresno, CA",Metro,CS260,"Fresno-Madera, CA"
6021,"Glenn County, California",,,,,
6023,"Humboldt County, California",C2170,"Eureka-Arcata-Fortuna, CA",Micro,,
6025,"Imperial County, California",C2094,"El Centro, CA",Metro,,
6027,"Inyo County, California",,,,,
6029,"Kern County, California",C1254,"Bakersfield, CA",Metro,,
6031,"Kings County, California",C2526,"Hanford-Corcoran, CA",Metro,CS546,"Visalia-Porterville-Hanford, CA"
6033,"Lake County, California",C1734,"Clearlake, CA",Micro,,
6035,"Lassen County, California",C4500,"Susanville, CA",Micro,,
6037,"Los Angeles County, California",C3108,"Los Angeles-Long Beach-Anaheim, CA",Metro,CS348,"Los Angeles-Long Beach, CA"
6039,"Madera County, California",C3146,"Madera, CA",Metro,CS260,"Fresno-Madera, CA"
6041,"Marin County, California",C4186,"San Francisco-Oakland-Hayward, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
6043,"Mariposa County, California",,,,,
6045,"Mendocino County, California",C4638,"Ukiah, CA",Micro,,
6047,"Merced County, California",C3290,"Merced, CA",Metro,CS382,"Modesto-Merced, CA"
6049,"Modoc County, California",,,,,
6051,"Mono County, California",,,,,
6053,"Monterey County, California",C4150,"Salinas, CA",Metro,,
6055,"Napa County, California",C3490,"Napa, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
6057,"Nevada County, California",C4602,"Truckee-Grass Valley, CA",Micro,CS472,"Sacramento-Roseville, CA"
6059,"Orange County, California",C3108,"Los Angeles-Long Beach-Anaheim, CA",Metro,CS348,"Los Angeles-Long Beach, CA"
6061,"Placer County, California",C4090,"Sacramento--Roseville--Arden-Arcade, CA",Metro,CS472,"Sacramento-Roseville, CA"
6063,"Plumas County, California",,,,,
6065,"Riverside County, California",C4014,"Riverside-San Bernardino-Ontario, CA",Metro,CS348,"Los Angeles-Long Beach, CA"
6067,"Sacramento County, California",C4090,"Sacramento--Roseville--Arden-Arcade, CA",Metro,CS472,"Sacramento-Roseville, CA"
6069,"San Benito County, California",C4194,"San Jose-Sunnyvale-Santa Clara, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
6071,"San Bernardino County, California",C4014,"Riverside-San Bernardino-Ontario, CA",Metro,CS348,"Los Angeles-Long Beach, CA"
6073,"San Diego County, California",C4174,"San Diego-Carlsbad, CA",Metro,,
6075,"San Francisco County, California",C4186,"San Francisco-Oakland-Hayward, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
6077,"San Joaquin County, California",C4470,"Stockton-Lodi, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
6079,"San Luis Obispo County, California",C4202,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",Metro,,
6081,"San Mateo County, California",C4186,"San Francisco-Oakland-Hayward, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
6083,"Santa Barbara County, California",C4220,"Santa Maria-Santa Barbara, CA",Metro,,
6085,"Santa Clara County, California",C4194,"San Jose-Sunnyvale-Santa Clara, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
6087,"Santa Cruz County, California",C4210,"Santa Cruz-Watsonville, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
6089,"Shasta County, California",C3982,"Redding, CA",Metro,CS454,"Redding-Red Bluff, CA"
6091,"Sierra County, California",,,,,
6093,"Siskiyou County, California",,,,,
6095,"Solano County, California",C4670,"Vallejo-Fairfield, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
6097,"Sonoma County, California",C4222,"Santa Rosa, CA",Metro,CS488,"San Jose-San Francisco-Oakland, CA"
6099,"Stanislaus County, California",C3370,"Modesto, CA",Metro,CS382,"Modesto-Merced, CA"
6101,"Sutter County, California",C4970,"Yuba City, CA",Metro,CS472,"Sacramento-Roseville, CA"
6103,"Tehama County, California",C3978,"Red Bluff, CA",Micro,CS454,"Redding-Red Bluff, CA"
6105,"Trinity County, California",,,,,
6107,"Tulare County, California",C4730,"Visalia-Porterville, CA",Metro,CS546,"Visalia-Porterville-Hanford, CA"
6109,"Tuolumne County, California",C4376,"Sonora, CA",Micro,,
6111,"Ventura County, California",C3710,"Oxnard-Thousand Oaks-Ventura, CA",Metro,CS348,"Los Angeles-Long Beach, CA"
6113,"Yolo County, California",C4090,"Sacramento--Roseville--Arden-Arcade, CA",Metro,CS472,"Sacramento-Roseville, CA"
6115,"Yuba County, California",C4970,"Yuba City, CA",Metro,CS472,"Sacramento-Roseville, CA"
8001,"Adams County, Colorado",C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
8003,"Alamosa County, Colorado",,,,,
8005,"Arapahoe County, Colorado",C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
8007,"Archuleta County, Colorado",,,,,
8009,"Baca County, Colorado",,,,,
8011,"Bent County, Colorado",,,,,
8013,"Boulder County, Colorado",C1450,"Boulder, CO",Metro,CS216,"Denver-Aurora, CO"
8014,"Broomfield County, Colorado",C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
8015,"Chaffee County, Colorado",,,,,
8017,"Cheyenne County, Colorado",,,,,
8019,"Clear Creek County, Colorado",C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
8021,"Conejos County, Colorado",,,,,
8023,"Costilla County, Colorado",,,,,
8025,"Crowley County, Colorado",,,,,
8027,"Custer County, Colorado",,,,,
8029,"Delta County, Colorado",,,,,
8031,"Denver County, Colorado",C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
8033,"Dolores County, Colorado",,,,,
8035,"Douglas County, Colorado",C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
8037,"Eagle County, Colorado",C2078,"Edwards, CO",Micro,CS233,"Edwards-Glenwood Springs, CO"
8039,"Elbert County, Colorado",C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
8041,"El Paso County, Colorado",C1782,"Colorado Springs, CO",Metro,,
8043,"Fremont County, Colorado",C1586,"Cañon City, CO",Micro,CS444,"Pueblo-Cañon City, CO"
8045,"Garfield County, Colorado",C2406,"Glenwood Springs, CO",Micro,CS233,"Edwards-Glenwood Springs, CO"
8047,"Gilpin County, Colorado",C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
8049,"Grand County, Colorado",,,,,
8051,"Gunnison County, Colorado",,,,,
8053,"Hinsdale County, Colorado",,,,,
8055,"Huerfano County, Colorado",,,,,
8057,"Jackson County, Colorado",,,,,
8059,"Jefferson County, Colorado",C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
8061,"Kiowa County, Colorado",,,,,
8063,"Kit Carson County, Colorado",,,,,
8065,"Lake County, Colorado",,,,,
8067,"La Plata County, Colorado",C2042,"Durango, CO",Micro,,
8069,"Larimer County, Colorado",C2266,"Fort Collins, CO",Metro,,
8071,"Las Animas County, Colorado",,,,,
8073,"Lincoln County, Colorado",,,,,
8075,"Logan County, Colorado",C4454,"Sterling, CO",Micro,,
8077,"Mesa County, Colorado",C2430,"Grand Junction, CO",Metro,,
8079,"Mineral County, Colorado",,,,,
8081,"Moffat County, Colorado",C1878,"Craig, CO",Micro,CS525,"Steamboat Springs-Craig, CO"
8083,"Montezuma County, Colorado",,,,,
8085,"Montrose County, Colorado",C3394,"Montrose, CO",Micro,,
8087,"Morgan County, Colorado",C2282,"Fort Morgan, CO",Micro,,
8089,"Otero County, Colorado",,,,,
8091,"Ouray County, Colorado",,,,,
8093,"Park County, Colorado",C1974,"Denver-Aurora-Lakewood, CO",Metro,CS216,"Denver-Aurora, CO"
8095,"Phillips County, Colorado",,,,,
8097,"Pitkin County, Colorado",C2406,"Glenwood Springs, CO",Micro,CS233,"Edwards-Glenwood Springs, CO"
8099,"Prowers County, Colorado",,,,,
8101,"Pueblo County, Colorado",C3938,"Pueblo, CO",Metro,CS444,"Pueblo-Cañon City, CO"
8103,"Rio Blanco County, Colorado",,,,,
8105,"Rio Grande County, Colorado",,,,,
8107,"Routt County, Colorado",C4446,"Steamboat Springs, CO",Micro,CS525,"Steamboat Springs-Craig, CO"
8109,"Saguache County, Colorado",,,,,
8111,"San Juan County, Colorado",,,,,
8113,"San Miguel County, Colorado",,,,,
8115,"Sedgwick County, Colorado",,,,,
8117,"Summit County, Colorado",C1472,"Breckenridge, CO",Micro,,
8119,"Teller County, Colorado",C1782,"Colorado Springs, CO",Metro,,
8121,"Washington County, Colorado",,,,,
8123,"Weld County, Colorado",C2454,"Greeley, CO",Metro,CS216,"Denver-Aurora, CO"
8125,"Yuma County, Colorado",,,,,
9001,"Fairfield County, Connecticut",C1486,"Bridgeport-Stamford-Norwalk, CT",Metro,CS408,"New York-Newark, NY-NJ-CT-PA"
9003,"Hartford County, Connecticut",C2554,"Hartford-West Hartford-East Hartford, CT",Metro,CS278,"Hartford-West Hartford, CT"
9005,"Litchfield County, Connecticut",C4586,"Torrington, CT",Micro,CS408,"New York-Newark, NY-NJ-CT-PA"
9007,"Middlesex County, Connecticut",C2554,"Hartford-West Hartford-East Hartford, CT",Metro,CS278,"Hartford-West Hartford, CT"
9009,"New Haven County, Connecticut",C3530,"New Haven-Milford, CT",Metro,CS408,"New York-Newark, NY-NJ-CT-PA"
9011,"New London County, Connecticut",C3598,"Norwich-New London, CT",Metro,CS278,"Hartford-West Hartford, CT"
9013,"Tolland County, Connecticut",C2554,"Hartford-West Hartford-East Hartford, CT",Metro,CS278,"Hartford-West Hartford, CT"
9015,"Windham County, Connecticut",C4934,"Worcester, MA-CT",Metro,CS148,"Boston-Worcester-Providence, MA-RI-NH-CT"
10001,"Kent County, Delaware",C2010,"Dover, DE",Metro,CS428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
10003,"New Castle County, Delaware",C3798,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metro,CS428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
10005,"Sussex County, Delaware",C4154,"Salisbury, MD-DE",Metro,,
11001,District of Columbia,C4790,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metro,CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
12001,"Alachua County, Florida",C2354,"Gainesville, FL",Metro,CS264,"Gainesville-Lake City, FL"
12003,"Baker County, Florida",C2726,"Jacksonville, FL",Metro,CS300,"Jacksonville-St. Marys-Palatka, FL-GA"
12005,"Bay County, Florida",C3746,"Panama City, FL",Metro,,
12007,"Bradford County, Florida",,,,,
12009,"Brevard County, Florida",C3734,"Palm Bay-Melbourne-Titusville, FL",Metro,,
12011,"Broward County, Florida",C3310,"Miami-Fort Lauderdale-West Palm Beach, FL",Metro,CS370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
12013,"Calhoun County, Florida",,,,,
12015,"Charlotte County, Florida",C3946,"Punta Gorda, FL",Metro,CS412,"North Port-Sarasota, FL"
12017,"Citrus County, Florida",C2614,"Homosassa Springs, FL",Metro,,
12019,"Clay County, Florida",C2726,"Jacksonville, FL",Metro,CS300,"Jacksonville-St. Marys-Palatka, FL-GA"
12021,"Collier County, Florida",C3494,"Naples-Immokalee-Marco Island, FL",Metro,CS162,"Cape Coral-Fort Myers-Naples, FL"
12023,"Columbia County, Florida",C2938,"Lake City, FL",Micro,CS264,"Gainesville-Lake City, FL"
12025,"Dade County, Florida",,,,,
12027,"DeSoto County, Florida",C1158,"Arcadia, FL",Micro,CS412,"North Port-Sarasota, FL"
12029,"Dixie County, Florida",,,,,
12031,"Duval County, Florida",C2726,"Jacksonville, FL",Metro,CS300,"Jacksonville-St. Marys-Palatka, FL-GA"
12033,"Escambia County, Florida",C3786,"Pensacola-Ferry Pass-Brent, FL",Metro,,
12035,"Flagler County, Florida",C1966,"Deltona-Daytona Beach-Ormond Beach, FL",Metro,CS422,"Orlando-Deltona-Daytona Beach, FL"
12037,"Franklin County, Florida",,,,,
12039,"Gadsden County, Florida",C4522,"Tallahassee, FL",Metro,CS533,"Tallahassee-Bainbridge, FL-GA"
12041,"Gilchrist County, Florida",C2354,"Gainesville, FL",Metro,CS264,"Gainesville-Lake City, FL"
12043,"Glades County, Florida",,,,,
12045,"Gulf County, Florida",C3746,"Panama City, FL",Metro,,
12047,"Hamilton County, Florida",,,,,
12049,"Hardee County, Florida",C4810,"Wauchula, FL",Micro,,
12051,"Hendry County, Florida",C1750,"Clewiston, FL",Micro,,
12053,"Hernando County, Florida",C4530,"Tampa-St. Petersburg-Clearwater, FL",Metro,,
12055,"Highlands County, Florida",C4270,"Sebring, FL",Metro,,
12057,"Hillsborough County, Florida",C4530,"Tampa-St. Petersburg-Clearwater, FL",Metro,,
12059,"Holmes County, Florida",,,,,
